"target","type","time","time_scale","n.risk","n.event","survival","se","var","lower_95_CI","upper_95_CI"
"Survival","PFS",1290,"days",50,1,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1320,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1350,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1380,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1410,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1440,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1470,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1500,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1530,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1560,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1590,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1620,"days",50,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
"Survival","PFS",1650,"days",0,0,0.948285067633122,0.0113658052966113,0.000129181530040478,0.926268115889075,0.970825351828955
