"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
140000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","blina_cost_high"
140000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","blina_cost_high"
145000,"Blinatumomab and chemotherapy",0.997942386831276,TRUE,"discounted","blina_cost_high"
145000,"Chemotherapy only",0.00205761316872428,FALSE,"discounted","blina_cost_high"
150000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
150000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
155000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
155000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
160000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
160000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
165000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
165000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
170000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
170000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
175000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
175000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
180000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
180000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
185000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
185000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
190000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
190000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
195000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
195000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
200000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_high"
200000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_high"
0,"Blinatumomab and chemotherapy",0,FALSE,"discounted","ivig"
0,"Chemotherapy only",1,TRUE,"discounted","ivig"
5000,"Blinatumomab and chemotherapy",0,FALSE,"discounted","ivig"
5000,"Chemotherapy only",1,TRUE,"discounted","ivig"
10000,"Blinatumomab and chemotherapy",0.00617283950617284,FALSE,"discounted","ivig"
10000,"Chemotherapy only",0.993827160493827,TRUE,"discounted","ivig"
15000,"Blinatumomab and chemotherapy",0.037037037037037,FALSE,"discounted","ivig"
15000,"Chemotherapy only",0.962962962962963,TRUE,"discounted","ivig"
20000,"Blinatumomab and chemotherapy",0.0946502057613169,FALSE,"discounted","ivig"
20000,"Chemotherapy only",0.905349794238683,TRUE,"discounted","ivig"
25000,"Blinatumomab and chemotherapy",0.226337448559671,FALSE,"discounted","ivig"
25000,"Chemotherapy only",0.773662551440329,TRUE,"discounted","ivig"
30000,"Blinatumomab and chemotherapy",0.374485596707819,FALSE,"discounted","ivig"
30000,"Chemotherapy only",0.625514403292181,TRUE,"discounted","ivig"
35000,"Blinatumomab and chemotherapy",0.508230452674897,TRUE,"discounted","ivig"
35000,"Chemotherapy only",0.491769547325103,FALSE,"discounted","ivig"
40000,"Blinatumomab and chemotherapy",0.635802469135803,TRUE,"discounted","ivig"
40000,"Chemotherapy only",0.364197530864198,FALSE,"discounted","ivig"
45000,"Blinatumomab and chemotherapy",0.740740740740741,TRUE,"discounted","ivig"
45000,"Chemotherapy only",0.259259259259259,FALSE,"discounted","ivig"
50000,"Blinatumomab and chemotherapy",0.816872427983539,TRUE,"discounted","ivig"
50000,"Chemotherapy only",0.183127572016461,FALSE,"discounted","ivig"
55000,"Blinatumomab and chemotherapy",0.87037037037037,TRUE,"discounted","ivig"
55000,"Chemotherapy only",0.12962962962963,FALSE,"discounted","ivig"
60000,"Blinatumomab and chemotherapy",0.901234567901235,TRUE,"discounted","ivig"
60000,"Chemotherapy only",0.0987654320987654,FALSE,"discounted","ivig"
65000,"Blinatumomab and chemotherapy",0.919753086419753,TRUE,"discounted","ivig"
65000,"Chemotherapy only",0.0802469135802469,FALSE,"discounted","ivig"
